location_type,time_of_day,day_of_week,num_suspects,weapon_involved,known_offender,prior_incidents,suspect_age,officer_on_scene,crime_type,latitude,longitude,description,date
Commercial,Afternoon,Monday,3,None,No,1,58,Yes,Theft,28.6094316012526,77.21276769390792,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 3,2016-04-12
Parking Lot,Morning,Sunday,5,Blunt Object,Yes,9,34,No,Robbery,28.60213526074349,77.20120150172215,Type: Robbery | Location: Parking Lot | Time: Morning | Weapon: Blunt Object | Suspects: 5,2020-04-08
Street,Evening,Tuesday,2,None,Yes,9,16,No,Burglary,28.610585541209545,77.22595451525662,Type: Burglary | Location: Street | Time: Evening | Weapon: None | Suspects: 2,2016-04-18
Alley,Morning,Friday,3,Knife,Yes,0,51,Yes,Burglary,28.596122404834187,77.19806903589445,Type: Burglary | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 3,2019-04-16
Commercial,Evening,Tuesday,2,Gun,Yes,6,28,Yes,Homicide,28.618308329316232,77.20954660322931,Type: Homicide | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 2,2017-07-17
Residential,Afternoon,Sunday,1,None,No,1,37,No,Theft,28.616091819826536,77.20168481336248,Type: Theft | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 1,2015-04-28
Street,Afternoon,Saturday,2,Knife,No,6,24,No,Vandalism,28.60682337736632,77.23013468335648,Type: Vandalism | Location: Street | Time: Afternoon | Weapon: Knife | Suspects: 2,2015-04-14
Commercial,Night,Thursday,3,Gun,Yes,1,35,Yes,Vandalism,28.6175716586226,77.20814897127697,Type: Vandalism | Location: Commercial | Time: Night | Weapon: Gun | Suspects: 3,2016-01-09
Street,Night,Sunday,5,None,Yes,0,32,No,Theft,28.61042221077267,77.22697817013449,Type: Theft | Location: Street | Time: Night | Weapon: None | Suspects: 5,2019-06-13
Alley,Evening,Wednesday,2,None,No,8,32,No,Theft,28.601728718379952,77.20169674523878,Type: Theft | Location: Alley | Time: Evening | Weapon: None | Suspects: 2,2017-12-25
Park,Evening,Thursday,2,Blunt Object,No,9,34,Yes,Homicide,28.562872223823888,77.21354933771327,Type: Homicide | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 2,2022-09-26
Parking Lot,Evening,Friday,5,Knife,No,1,25,No,Assault,28.60085181386002,77.19816892412567,Type: Assault | Location: Parking Lot | Time: Evening | Weapon: Knife | Suspects: 5,2016-03-08
Park,Afternoon,Saturday,5,Gun,Yes,0,17,Yes,Homicide,28.5628006208264,77.21291292713279,Type: Homicide | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 5,2024-05-11
Park,Night,Tuesday,4,None,No,3,37,No,Burglary,28.56867483903932,77.21179246882005,Type: Burglary | Location: Park | Time: Night | Weapon: None | Suspects: 4,2017-07-13
Park,Night,Tuesday,4,Blunt Object,No,5,40,No,Homicide,28.5704461265092,77.2076756020098,Type: Homicide | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 4,2017-03-15
Street,Afternoon,Tuesday,5,Blunt Object,Yes,0,52,Yes,Assault,28.614377400302768,77.23124003973618,Type: Assault | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2017-01-09
Park,Afternoon,Saturday,4,Gun,Yes,10,33,Yes,Robbery,28.563061463134872,77.21357011530469,Type: Robbery | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 4,2016-03-15
Commercial,Night,Wednesday,3,Blunt Object,No,7,51,Yes,Homicide,28.61051428354304,77.21076500475226,Type: Homicide | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 3,2020-04-03
Commercial,Afternoon,Monday,4,Blunt Object,No,10,39,No,Homicide,28.61762906903397,77.21277495506698,Type: Homicide | Location: Commercial | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2017-07-23
Residential,Night,Thursday,5,Gun,No,2,26,No,Theft,28.619787597531342,77.20455506080074,Type: Theft | Location: Residential | Time: Night | Weapon: Gun | Suspects: 5,2019-08-26
Street,Morning,Tuesday,5,None,No,8,46,Yes,Burglary,28.61440825551177,77.23269933259279,Type: Burglary | Location: Street | Time: Morning | Weapon: None | Suspects: 5,2015-04-11
Park,Night,Friday,4,Blunt Object,No,9,41,Yes,Theft,28.57107613541091,77.2143707879924,Type: Theft | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 4,2024-04-15
Park,Night,Sunday,1,Gun,Yes,4,20,No,Burglary,28.56334882051324,77.20905524660257,Type: Burglary | Location: Park | Time: Night | Weapon: Gun | Suspects: 1,2016-11-12
Parking Lot,Morning,Friday,1,Blunt Object,No,8,17,Yes,Theft,28.5980079928058,77.20228853023175,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: Blunt Object | Suspects: 1,2022-09-08
Street,Evening,Thursday,2,Knife,Yes,4,37,No,Robbery,28.614941002822327,77.22847273253795,Type: Robbery | Location: Street | Time: Evening | Weapon: Knife | Suspects: 2,2022-09-06
Park,Morning,Monday,5,Gun,Yes,3,51,No,Robbery,28.565395730225426,77.21487793424492,Type: Robbery | Location: Park | Time: Morning | Weapon: Gun | Suspects: 5,2016-07-01
Parking Lot,Afternoon,Thursday,4,Blunt Object,No,7,40,Yes,Vandalism,28.601267392359823,77.19746665888803,Type: Vandalism | Location: Parking Lot | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2017-12-12
Parking Lot,Morning,Saturday,3,Gun,Yes,7,38,No,Theft,28.59704085343516,77.20183109172365,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: Gun | Suspects: 3,2019-01-20
Park,Night,Saturday,1,Knife,No,5,26,Yes,Burglary,28.567048013445707,77.20684397752198,Type: Burglary | Location: Park | Time: Night | Weapon: Knife | Suspects: 1,2023-10-30
Parking Lot,Afternoon,Saturday,5,Blunt Object,Yes,0,51,No,Theft,28.5968730706838,77.20135890974514,Type: Theft | Location: Parking Lot | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2018-07-10
Alley,Night,Wednesday,3,Blunt Object,Yes,3,41,Yes,Assault,28.598683529796663,77.19866277058038,Type: Assault | Location: Alley | Time: Night | Weapon: Blunt Object | Suspects: 3,2018-10-17
Parking Lot,Afternoon,Friday,3,Gun,No,7,37,No,Burglary,28.597735235865464,77.2021158712683,Type: Burglary | Location: Parking Lot | Time: Afternoon | Weapon: Gun | Suspects: 3,2023-02-11
Residential,Morning,Saturday,1,Blunt Object,Yes,7,41,Yes,Robbery,28.618499124132573,77.20275593711636,Type: Robbery | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 1,2021-04-15
Street,Night,Wednesday,3,None,No,8,29,No,Theft,28.609746192200465,77.233153333374,Type: Theft | Location: Street | Time: Night | Weapon: None | Suspects: 3,2024-09-25
Alley,Evening,Tuesday,1,Knife,Yes,4,59,No,Burglary,28.60026207290961,77.20091229174442,Type: Burglary | Location: Alley | Time: Evening | Weapon: Knife | Suspects: 1,2015-12-21
Commercial,Night,Thursday,4,Blunt Object,No,1,57,No,Homicide,28.61129670416162,77.2131134582919,Type: Homicide | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 4,2017-03-12
Park,Night,Saturday,4,Knife,No,8,33,No,Homicide,28.568627309638128,77.2137003198814,Type: Homicide | Location: Park | Time: Night | Weapon: Knife | Suspects: 4,2020-03-20
Residential,Morning,Thursday,5,Knife,No,8,34,No,Assault,28.62337242942332,77.19542863252929,Type: Assault | Location: Residential | Time: Morning | Weapon: Knife | Suspects: 5,2015-03-23
Street,Afternoon,Tuesday,1,None,No,7,30,No,Vandalism,28.60889383708969,77.2293276382862,Type: Vandalism | Location: Street | Time: Afternoon | Weapon: None | Suspects: 1,2022-03-24
Alley,Evening,Thursday,4,Blunt Object,Yes,0,57,No,Robbery,28.596921342801515,77.20424384112461,Type: Robbery | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 4,2018-03-09
Street,Evening,Wednesday,2,Knife,Yes,4,43,No,Homicide,28.60899688119425,77.23366785781688,Type: Homicide | Location: Street | Time: Evening | Weapon: Knife | Suspects: 2,2015-02-26
Residential,Afternoon,Sunday,1,Blunt Object,No,5,18,No,Assault,28.62023978166206,77.20068712121679,Type: Assault | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2022-01-02
Street,Morning,Friday,3,Gun,No,4,50,No,Burglary,28.60780371393091,77.2306159983983,Type: Burglary | Location: Street | Time: Morning | Weapon: Gun | Suspects: 3,2023-10-16
Residential,Afternoon,Thursday,3,Blunt Object,No,1,57,No,Burglary,28.61504302735301,77.20480925006439,Type: Burglary | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2021-09-27
Commercial,Morning,Saturday,3,Blunt Object,No,10,21,Yes,Assault,28.611960861199595,77.20836084031487,Type: Assault | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 3,2015-11-17
Park,Evening,Wednesday,5,Blunt Object,No,5,21,No,Theft,28.569740085923087,77.20914440821787,Type: Theft | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 5,2018-04-30
Park,Afternoon,Monday,2,Gun,No,5,45,No,Homicide,28.570323416338923,77.20699176993483,Type: Homicide | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 2,2022-08-04
Parking Lot,Morning,Thursday,4,Knife,No,10,41,Yes,Assault,28.59789104544385,77.19897489025564,Type: Assault | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 4,2024-09-18
Street,Night,Saturday,1,Knife,Yes,1,34,Yes,Homicide,28.60764610258414,77.22586016329608,Type: Homicide | Location: Street | Time: Night | Weapon: Knife | Suspects: 1,2018-11-18
Alley,Morning,Saturday,3,Gun,No,1,42,Yes,Theft,28.598990171317983,77.20456947333598,Type: Theft | Location: Alley | Time: Morning | Weapon: Gun | Suspects: 3,2023-04-30
Commercial,Night,Monday,2,Blunt Object,No,4,57,No,Robbery,28.61779951370827,77.21078321446456,Type: Robbery | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 2,2020-08-06
Parking Lot,Evening,Friday,3,None,Yes,5,36,No,Vandalism,28.5990703282788,77.20155052675076,Type: Vandalism | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 3,2015-02-01
Residential,Afternoon,Monday,3,None,Yes,10,52,No,Homicide,28.615644225613423,77.195514610306,Type: Homicide | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 3,2024-11-06
Parking Lot,Evening,Wednesday,2,Knife,Yes,1,54,Yes,Assault,28.604057827552097,77.20316511821972,Type: Assault | Location: Parking Lot | Time: Evening | Weapon: Knife | Suspects: 2,2021-05-01
Commercial,Evening,Friday,5,Gun,Yes,2,40,No,Assault,28.616360169297955,77.2083514031261,Type: Assault | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 5,2017-01-01
Residential,Afternoon,Friday,2,Knife,No,3,60,No,Theft,28.62488643718514,77.19607768457487,Type: Theft | Location: Residential | Time: Afternoon | Weapon: Knife | Suspects: 2,2016-02-16
Residential,Night,Tuesday,3,None,No,7,58,Yes,Assault,28.61916560768908,77.19585175900208,Type: Assault | Location: Residential | Time: Night | Weapon: None | Suspects: 3,2015-02-04
Park,Night,Sunday,2,Gun,Yes,2,58,No,Theft,28.57153979965253,77.20982038252278,Type: Theft | Location: Park | Time: Night | Weapon: Gun | Suspects: 2,2015-09-18
Commercial,Evening,Sunday,3,Blunt Object,Yes,3,41,No,Theft,28.61234566996158,77.20977819943138,Type: Theft | Location: Commercial | Time: Evening | Weapon: Blunt Object | Suspects: 3,2023-11-17
Alley,Night,Thursday,1,None,Yes,4,25,Yes,Assault,28.59660810171174,77.19510704137997,Type: Assault | Location: Alley | Time: Night | Weapon: None | Suspects: 1,2024-02-22
Parking Lot,Afternoon,Wednesday,5,None,No,0,40,No,Burglary,28.60342293873282,77.20143598671383,Type: Burglary | Location: Parking Lot | Time: Afternoon | Weapon: None | Suspects: 5,2018-11-28
Park,Night,Tuesday,1,Knife,Yes,10,20,Yes,Robbery,28.562709017650768,77.20997894461487,Type: Robbery | Location: Park | Time: Night | Weapon: Knife | Suspects: 1,2020-04-09
Park,Night,Monday,5,Knife,No,0,22,Yes,Vandalism,28.571162894908216,77.20758134962269,Type: Vandalism | Location: Park | Time: Night | Weapon: Knife | Suspects: 5,2019-06-25
Commercial,Night,Friday,3,Blunt Object,No,3,31,Yes,Assault,28.61447775546936,77.21146421957818,Type: Assault | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 3,2020-08-24
Park,Night,Saturday,1,Blunt Object,No,10,31,Yes,Burglary,28.57214527699385,77.21166449354111,Type: Burglary | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 1,2024-11-07
Street,Morning,Thursday,4,Blunt Object,Yes,2,53,Yes,Assault,28.60855400271899,77.23488105241596,Type: Assault | Location: Street | Time: Morning | Weapon: Blunt Object | Suspects: 4,2015-10-30
Parking Lot,Night,Thursday,3,Knife,Yes,10,39,No,Burglary,28.59711153743963,77.20445127396759,Type: Burglary | Location: Parking Lot | Time: Night | Weapon: Knife | Suspects: 3,2023-03-28
Alley,Morning,Thursday,3,Gun,Yes,1,26,No,Vandalism,28.6033107176032,77.20328110975419,Type: Vandalism | Location: Alley | Time: Morning | Weapon: Gun | Suspects: 3,2022-11-01
Street,Afternoon,Wednesday,2,None,Yes,7,39,Yes,Assault,28.61190019018106,77.234891222956,Type: Assault | Location: Street | Time: Afternoon | Weapon: None | Suspects: 2,2019-09-19
Residential,Evening,Tuesday,5,Gun,No,8,30,No,Homicide,28.61946405014894,77.2005394190855,Type: Homicide | Location: Residential | Time: Evening | Weapon: Gun | Suspects: 5,2023-12-17
Alley,Night,Sunday,5,Gun,No,4,42,Yes,Theft,28.600041746802443,77.19574810248393,Type: Theft | Location: Alley | Time: Night | Weapon: Gun | Suspects: 5,2023-06-22
Residential,Evening,Saturday,4,Blunt Object,Yes,3,57,Yes,Burglary,28.617747848885983,77.19964052087256,Type: Burglary | Location: Residential | Time: Evening | Weapon: Blunt Object | Suspects: 4,2016-01-10
Residential,Afternoon,Friday,3,None,No,10,35,No,Assault,28.621867623723183,77.20497242386993,Type: Assault | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 3,2023-10-23
Park,Afternoon,Friday,5,Gun,Yes,1,42,No,Robbery,28.569465708225128,77.20665661327394,Type: Robbery | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 5,2016-12-15
Park,Morning,Saturday,4,Knife,No,6,46,No,Theft,28.570261850588555,77.21353278704699,Type: Theft | Location: Park | Time: Morning | Weapon: Knife | Suspects: 4,2018-01-16
Commercial,Afternoon,Sunday,1,Gun,Yes,2,45,Yes,Assault,28.616555220192623,77.21323313936284,Type: Assault | Location: Commercial | Time: Afternoon | Weapon: Gun | Suspects: 1,2015-01-26
Residential,Afternoon,Wednesday,5,Gun,Yes,6,59,No,Assault,28.617234778711907,77.19691264705486,Type: Assault | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 5,2021-03-27
Parking Lot,Afternoon,Thursday,1,None,Yes,5,48,Yes,Robbery,28.59582526763832,77.20154602149387,Type: Robbery | Location: Parking Lot | Time: Afternoon | Weapon: None | Suspects: 1,2021-05-09
Alley,Morning,Monday,2,Gun,No,4,30,No,Robbery,28.604183784896616,77.19786528707091,Type: Robbery | Location: Alley | Time: Morning | Weapon: Gun | Suspects: 2,2023-06-26
Park,Afternoon,Saturday,3,Knife,No,7,51,Yes,Homicide,28.567636043927944,77.2126017949695,Type: Homicide | Location: Park | Time: Afternoon | Weapon: Knife | Suspects: 3,2023-05-19
Alley,Afternoon,Saturday,4,None,Yes,0,30,No,Theft,28.59770361993472,77.20201966423103,Type: Theft | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 4,2016-11-28
Street,Night,Monday,4,Blunt Object,Yes,10,22,Yes,Theft,28.61394646032273,77.22564592546615,Type: Theft | Location: Street | Time: Night | Weapon: Blunt Object | Suspects: 4,2024-02-04
Park,Afternoon,Thursday,4,None,Yes,10,55,No,Vandalism,28.56784780611332,77.21189922656741,Type: Vandalism | Location: Park | Time: Afternoon | Weapon: None | Suspects: 4,2016-08-20
Street,Morning,Friday,1,Knife,No,5,53,No,Theft,28.61084801998849,77.22751286714019,Type: Theft | Location: Street | Time: Morning | Weapon: Knife | Suspects: 1,2023-07-01
Parking Lot,Morning,Sunday,2,Knife,Yes,8,22,Yes,Assault,28.602842481601268,77.20291737618795,Type: Assault | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 2,2017-08-20
Park,Afternoon,Wednesday,5,Knife,No,2,34,No,Robbery,28.572133855207515,77.21321343879912,Type: Robbery | Location: Park | Time: Afternoon | Weapon: Knife | Suspects: 5,2021-11-07
Parking Lot,Night,Saturday,4,Knife,No,7,23,No,Homicide,28.596878156094,77.19764931824382,Type: Homicide | Location: Parking Lot | Time: Night | Weapon: Knife | Suspects: 4,2019-11-04
Alley,Evening,Sunday,2,Knife,No,1,19,No,Vandalism,28.5971674610013,77.20163308986155,Type: Vandalism | Location: Alley | Time: Evening | Weapon: Knife | Suspects: 2,2022-01-19
Commercial,Morning,Friday,4,Blunt Object,No,5,39,Yes,Assault,28.61258496163336,77.21378707558928,Type: Assault | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 4,2020-10-02
Parking Lot,Morning,Tuesday,5,None,No,5,44,No,Burglary,28.5986965214117,77.19942114094357,Type: Burglary | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 5,2017-01-26
Park,Evening,Thursday,3,Blunt Object,No,5,56,No,Homicide,28.569107684181663,77.2094311218802,Type: Homicide | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 3,2022-09-25
Parking Lot,Night,Tuesday,3,Gun,Yes,8,32,Yes,Assault,28.59667622160241,77.20249566667523,Type: Assault | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 3,2017-06-08
Alley,Morning,Sunday,2,None,No,1,60,Yes,Vandalism,28.59572573505685,77.19772719856765,Type: Vandalism | Location: Alley | Time: Morning | Weapon: None | Suspects: 2,2021-09-12
Commercial,Morning,Friday,1,Blunt Object,Yes,6,33,Yes,Burglary,28.61713182337736,77.206243050253,Type: Burglary | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 1,2021-01-11
Park,Night,Monday,4,Blunt Object,No,10,43,Yes,Burglary,28.57076448583909,77.20771603898531,Type: Burglary | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 4,2019-10-05
Commercial,Morning,Wednesday,4,None,No,2,36,Yes,Vandalism,28.614859203925523,77.20614843405441,Type: Vandalism | Location: Commercial | Time: Morning | Weapon: None | Suspects: 4,2021-12-22
Street,Evening,Friday,3,None,Yes,0,23,No,Robbery,28.614000699846983,77.23120441303145,Type: Robbery | Location: Street | Time: Evening | Weapon: None | Suspects: 3,2019-07-14
Street,Night,Tuesday,4,None,No,5,56,Yes,Vandalism,28.61483410752193,77.22558374183282,Type: Vandalism | Location: Street | Time: Night | Weapon: None | Suspects: 4,2023-12-07
Alley,Evening,Saturday,2,Blunt Object,Yes,2,49,Yes,Burglary,28.59942014432993,77.20440169595636,Type: Burglary | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 2,2020-04-08
Commercial,Night,Wednesday,1,Knife,Yes,8,57,Yes,Assault,28.61030522593461,77.21237892176255,Type: Assault | Location: Commercial | Time: Night | Weapon: Knife | Suspects: 1,2019-08-08
Street,Night,Thursday,2,None,No,3,54,Yes,Theft,28.614634132777542,77.23191601761962,Type: Theft | Location: Street | Time: Night | Weapon: None | Suspects: 2,2021-11-19
Park,Morning,Monday,4,Knife,Yes,10,47,Yes,Theft,28.56697454533391,77.21412611648908,Type: Theft | Location: Park | Time: Morning | Weapon: Knife | Suspects: 4,2016-10-13
Parking Lot,Night,Thursday,4,Gun,No,9,38,Yes,Assault,28.60477092517893,77.19903723731935,Type: Assault | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 4,2018-07-06
Residential,Evening,Monday,5,Blunt Object,Yes,3,19,Yes,Homicide,28.619264995099293,77.20068481795695,Type: Homicide | Location: Residential | Time: Evening | Weapon: Blunt Object | Suspects: 5,2019-03-10
Park,Morning,Monday,5,Knife,No,10,49,No,Assault,28.56898919790874,77.21143209966334,Type: Assault | Location: Park | Time: Morning | Weapon: Knife | Suspects: 5,2016-12-28
Street,Afternoon,Friday,3,Blunt Object,No,10,47,Yes,Vandalism,28.61231772549409,77.22523263731989,Type: Vandalism | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2019-08-24
Parking Lot,Morning,Sunday,4,None,Yes,8,27,Yes,Robbery,28.59899097022115,77.19635673531307,Type: Robbery | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 4,2024-11-06
Alley,Morning,Thursday,5,Gun,Yes,2,26,Yes,Homicide,28.604832225721925,77.19742640501134,Type: Homicide | Location: Alley | Time: Morning | Weapon: Gun | Suspects: 5,2019-09-17
Commercial,Night,Monday,1,Blunt Object,Yes,10,41,Yes,Theft,28.61671778657927,77.21005293374657,Type: Theft | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 1,2020-05-16
Commercial,Afternoon,Monday,2,Knife,Yes,4,27,No,Theft,28.611927091582206,77.20489418524174,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 2,2018-04-16
